ip_size,time,found
1130000,0.00134615,1
1140000,0.00195072,0
1150000,0.00195661,0
1160000,0.00198374,0
1170000,0.00189572,1
1180000,0.000149855,1
1190000,0.00204941,0
1200000,0.00202159,0
1210000,0.00208069,0
1220000,0.00206237,0
1230000,0.00201227,0
1240000,0.00205692,0
1250000,0.00212697,0
1260000,0.0020838,0
1270000,0.00212245,0
1280000,0.00218064,0
1290000,0.00227994,0
1300000,0.00218051,0
1310000,0.00224472,0
1320000,0.00222797,0
1330000,0.00255651,0
1340000,0.00226647,0
1350000,0.00225273,0
1360000,0.0022922,0
1370000,0.00232508,0
1380000,0.00233182,0
1390000,0.00240191,0
1400000,0.0023758,0
1410000,0.00238376,0
1420000,0.00244517,0
1430000,0.00244201,0
1440000,0.00243582,0
1450000,0.00202898,1
1460000,0.00246506,0
1470000,0.00173787,1
1480000,0.00248329,0
1490000,0.00253365,0
1500000,0.00256948,0
1510000,0.00250775,0
1520000,0.00257831,0
1530000,0.0026044,0
1540000,0.00263699,0
1550000,4.0744e-05,1
1560000,0.00258413,0
1570000,0.00256879,0
1580000,0.00269159,0
1590000,0.00219092,1
1600000,0.00274157,0
1610000,0.00247418,1
1620000,0.000706424,1
1630000,0.0027864,0
1640000,0.00276721,0
1650000,0.00268743,0
1660000,0.00277645,0
1670000,0.00274173,0
1680000,0.00288587,0
1690000,0.00288774,0
1700000,0.000204836,1
1710000,0.00282394,0
1720000,0.00289374,0
1730000,0.0029767,0
1740000,0.00295459,0
1750000,0.00289885,0
1760000,0.0028153,1
1770000,0.00304419,0
1780000,0.00296787,0
1790000,0.00325911,0
1800000,0.00553409,0
1810000,0.00249769,1
1820000,0.00645067,0
1830000,0.00323538,0
1840000,0.00387847,0
1850000,0.000684126,1
1860000,0.00317214,0
1870000,0.00318713,0
1880000,0.00318319,0
1890000,0.00326375,0
1900000,0.00333483,0
1910000,0.0034304,0
1920000,0.00327074,0
1930000,0.00331862,0
1940000,0.0033996,0
1950000,0.00342849,0
1960000,0.00379508,0
1970000,0.00334909,0
1980000,0.00343764,0
1990000,0.00474421,0
2000000,0.00344811,0
2010000,0.00350624,0
2020000,0.00322506,1
2030000,0.00354917,0
2040000,0.00349901,0
2050000,0.00352763,0
2060000,0.00346928,0
2070000,0.000916768,1
2080000,0.00108412,1
2090000,0.00359603,0
2100000,0.00360256,0
2110000,0.00366948,0
2120000,0.00367944,0
2130000,0.00373847,0
2140000,0.00376091,0
2150000,0.0038206,0
2160000,0.00374109,0
2170000,0.00362413,0
2180000,0.00285404,1
2190000,0.00307351,1
2200000,0.00379037,0
2210000,0.00374074,0
2220000,0.0038256,0
2230000,0.00359205,1
2240000,0.00100429,1
2250000,0.0039601,0
2260000,0.00395154,0
2270000,0.00356179,1
2280000,0.00389252,0
2290000,0.00388141,0
2300000,0.00398241,0
2310000,0.000242378,1
2320000,0.00396178,0
2330000,0.00398307,0
2340000,0.00391006,0
2350000,0.00393886,0
2360000,0.00403347,0
2370000,0.00393054,0
2380000,0.00405885,0
2390000,0.00398686,0
2400000,0.00405196,0
2410000,0.00397909,0
2420000,0.00414416,0
2430000,0.000119758,1
2440000,0.00418317,0
2450000,0.00334573,1
2460000,0.00409484,0
2470000,0.000928301,1
2480000,0.00409925,0
2490000,0.00418838,0
2500000,0.000802609,1
2510000,0.00419678,0
2520000,0.00428232,0
2530000,0.00412754,0
2540000,0.00432179,0
2550000,0.00426426,0
2560000,0.00435356,0
2570000,0.00412337,0
2580000,0.00446365,0
2590000,0.00434246,0
2600000,0.00441218,0
2610000,0.000536137,1
2620000,0.00447585,0
2630000,0.00450629,0
2640000,0.00454293,0
2650000,0.0045317,0
2660000,0.00454036,0
2670000,0.00443958,0
2680000,0.00441447,0
2690000,0.00438875,0
2700000,0.00474425,0
2710000,0.00465405,0
2720000,0.0013871,1
2730000,0.00460842,0
2740000,0.00431982,1
2750000,0.00464809,0
2760000,0.00462958,0
2770000,0.00381569,1
2780000,0.000105873,1
2790000,0.00463128,0
2800000,0.00458226,1
2810000,0.00348475,1
2820000,0.00175281,1
2830000,0.00138674,1
2840000,0.00476286,0
2850000,0.00485555,0
2860000,0.00479657,0
2870000,0.0048715,0
2880000,0.00479468,0
2890000,0.00482389,0
2900000,0.00431423,1
2910000,0.00494876,0
2920000,0.00351865,1
2930000,0.00497145,0
2940000,0.00255227,1
2950000,0.000351198,1
2960000,0.00102184,1
2970000,0.0051686,0
2980000,0.00520104,0
