ip_size,time,found
1260000,0.00346885,0
1270000,0.00271754,0
1280000,0.00309753,0
1290000,0.00254161,0
1300000,0.00272538,0
1310000,0.00257317,0
1320000,0.00312446,0
1330000,0.00263354,0
1340000,0.00316941,0
1350000,0.00315717,0
1360000,0.00289991,0
1370000,0.00311751,0
1380000,0.00257633,0
1390000,0.00334083,0
1400000,0.00259827,0
1410000,0.00331314,0
1420000,0.00278402,0
1430000,0.00320409,0
1440000,0.00297897,0
1450000,0.00328423,1
1460000,0.00266797,0
1470000,0.00296468,1
1480000,0.00400598,0
1490000,0.00289322,0
1500000,0.00481549,0
1510000,0.00333019,0
1520000,0.00335429,0
1530000,0.00313882,0
1540000,0.00315932,0
1550000,0.0027356,1
1560000,0.00301387,0
1570000,0.00293556,0
1580000,0.00357544,0
1590000,0.00296359,1
1600000,0.00330444,0
1610000,0.0030889,1
1620000,0.00292632,1
1630000,0.00326916,0
1640000,0.00385026,0
1650000,0.0039759,0
1660000,0.00317644,0
1670000,0.00349116,0
1680000,0.00335326,0
1690000,0.00325423,0
1700000,0.00334058,1
1710000,0.00342598,0
1720000,0.00360742,0
1730000,0.00353401,0
1740000,0.00371073,0
1750000,0.00311357,0
1760000,0.00355455,1
1770000,0.00320638,0
1780000,0.00332984,0
1790000,0.0033105,0
1800000,0.00337314,0
1810000,0.00337248,1
1820000,0.00359552,0
1830000,0.00343019,0
1840000,0.00368439,0
1850000,0.00370282,1
1860000,0.0036142,0
1870000,0.00345675,0
1880000,0.00381771,0
1890000,0.00382821,0
1900000,0.00367207,0
1910000,0.0036006,0
1920000,0.00398674,0
1930000,0.00391447,0
1940000,0.00337083,0
1950000,0.00407936,0
1960000,0.003574,0
1970000,0.00351221,0
1980000,0.00352144,0
1990000,0.00390068,0
2000000,0.00346335,0
2010000,0.00448321,0
2020000,0.00357905,1
2030000,0.00381761,0
2040000,0.0038019,0
2050000,0.00364367,0
2060000,0.0044507,0
2070000,0.00356481,1
2080000,0.00399524,1
2090000,0.00383687,0
2100000,0.00389182,0
2110000,0.00404324,0
2120000,0.00395199,0
2130000,0.00456022,0
2140000,0.00440345,0
2150000,0.0044374,0
2160000,0.0038699,0
2170000,0.00364629,0
2180000,0.00399565,1
2190000,0.0041594,1
2200000,0.00440973,0
2210000,0.00442466,0
2220000,0.0058906,0
2230000,0.00410613,1
2240000,0.0039148,1
2250000,0.00602871,0
2260000,0.0045196,0
2270000,0.00427821,1
2280000,0.00404173,0
2290000,0.00425017,0
2300000,0.00444937,0
2310000,0.00422689,1
2320000,0.00428326,0
2330000,0.00416733,0
2340000,0.0045431,0
2350000,0.00454809,0
2360000,0.00476298,0
2370000,0.00433521,0
2380000,0.00414301,0
2390000,0.00424431,0
2400000,0.00422475,0
2410000,0.00592851,0
2420000,0.00469253,0
2430000,0.00430719,1
2440000,0.00443724,0
2450000,0.00419613,1
2460000,0.00493149,0
2470000,0.00475877,1
2480000,0.00448974,0
2490000,0.00455422,0
2500000,0.00429398,1
2510000,0.0044668,0
2520000,0.00444815,0
2530000,0.00447283,0
2540000,0.00470207,0
2550000,0.00467009,0
2560000,0.00473015,0
2570000,0.00500999,0
2580000,0.00492508,0
2590000,0.00431502,0
2600000,0.00631224,0
2610000,0.00420683,1
2620000,0.00483363,0
2630000,0.00495272,0
2640000,0.00442989,0
2650000,0.00457535,0
2660000,0.00448266,0
2670000,0.00447712,0
2680000,0.00434061,0
2690000,0.00465045,0
2700000,0.00522275,0
2710000,0.00518389,0
2720000,0.00450372,1
2730000,0.00462058,0
2740000,0.00505432,1
2750000,0.0050095,0
2760000,0.00513434,0
2770000,0.00486699,1
2780000,0.00495188,1
2790000,0.00503399,0
2800000,0.00523889,1
2810000,0.00475641,1
2820000,0.00494625,1
2830000,0.00461733,1
2840000,0.00523516,0
2850000,0.00463942,0
2860000,0.004845,0
2870000,0.00473682,0
2880000,0.00535889,0
2890000,0.00532149,0
2900000,0.00516743,1
2910000,0.00513751,0
2920000,0.00531482,1
2930000,0.00514875,0
