ip_size,time,found
1420000,2.713e-06,0
1430000,1.246e-06,0
1440000,2.653e-06,0
1450000,1.117e-06,1
1460000,4.89e-07,0
1470000,1.038e-06,1
1480000,4.98e-07,0
1490000,3.481e-06,0
1500000,1.296e-06,0
1510000,2.284e-06,0
1520000,1.207e-06,0
1530000,2.015e-06,0
1540000,5.89e-07,0
1550000,1.397e-06,1
1560000,7.78e-07,0
1570000,7.29e-07,0
1580000,1.835e-06,0
1590000,1.087e-06,1
1600000,1.86e-06,0
1610000,4.4e-07,1
1620000,6.22e-07,1
1630000,2.995e-06,0
1640000,5.99e-07,0
1650000,1.809e-06,0
1660000,2.139e-06,0
1670000,3.832e-06,0
1680000,2.377e-06,0
1690000,1.69e-06,0
1700000,2.463e-06,1
1710000,2.664e-06,0
1720000,2.974e-06,0
1730000,3.164e-06,0
1740000,7.05e-07,0
1750000,1.711e-06,0
1760000,8.74e-07,1
1770000,7.14e-07,0
1780000,1.316e-06,0
1790000,4.12e-07,0
1800000,4.71e-07,0
1810000,1.104e-06,1
1820000,1.283e-06,0
1830000,6.12e-07,0
1840000,5.71e-07,0
1850000,8.91e-07,1
1860000,1.549e-06,0
1870000,2.449e-06,0
1880000,4.1e-07,0
1890000,8.59e-07,0
1900000,1.897e-06,0
1910000,6.79e-07,0
1920000,5.79e-07,0
1930000,1.866e-06,0
1940000,1.826e-06,0
1950000,1.616e-06,0
1960000,1.077e-06,0
1970000,1.994e-06,0
1980000,2.053e-06,0
1990000,1.735e-06,0
2000000,1.328e-06,0
2010000,1.647e-06,0
2020000,2.117e-06,1
2030000,5.39e-07,0
2040000,2.606e-06,0
2050000,1.647e-06,0
2060000,1.078e-06,0
2070000,1.388e-06,1
2080000,2.026e-06,1
2090000,1.976e-06,0
2100000,5.69e-07,0
2110000,9.28e-07,0
2120000,5.88e-07,0
2130000,1.027e-06,0
2140000,2.674e-06,0
2150000,2.035e-06,0
2160000,1.446e-06,0
2170000,1.726e-06,0
2180000,1.107e-06,1
2190000,2.304e-06,1
2200000,1.274e-06,0
2210000,2.125e-06,0
2220000,6.41e-07,0
2230000,1.41e-06,1
2240000,2.307e-06,1
2250000,7.38e-07,0
2260000,1.929e-06,0
2270000,7.16e-07,1
2280000,1.765e-06,0
2290000,1.853e-06,0
2300000,2.494e-06,0
2310000,1.016e-06,1
2320000,1.657e-06,0
2330000,2.369e-06,0
